year,rcp,had,had_025,had_975,cw,cw_1sigma,giss,trf,volc,solar,anthro,ghg,co2ch4n2o,fgassum,mhalosum,aerosols,other,soi,amo,had_full,cw_full,giss_full,volc_mean,soi_mean,amo_mean
1900,rcp45,0.103266666666667,-0.0387333333333333,0.239266666666667,0.117266666666667,0.046,0.113266666666667,0.21281463,0.20194318,-0.045101875,0.25791651,0.47166844,0.47117444,5.2650461e-06,0.000488735,-0.086680533,-0.127071393,-1.23333333333333,0.0965833333333333,0.103266666666667,0.117266666666667,0.113266666666667,0.20194318,-1.23333333333333,0.0965833333333333
1901,rcp45,0.0382666666666667,-0.105733333333333,0.178266666666667,0.0712666666666667,0.048,0.0632666666666667,0.20682824,0.19166193,-0.05291125,0.25973949,0.47978018,0.47925899,1.08072e-05,0.00051038,-0.085594534,-0.134446152,-0.0416666666666667,0.0878333333333333,0.0382666666666667,0.0712666666666667,0.0632666666666667,0.19166193,-0.0416666666666667,0.0878333333333333
1902,rcp45,-0.103733333333333,-0.238733333333333,0.0282666666666667,-0.0917333333333333,0.047,-0.0667333333333333,0.215273054,-0.25694328,-0.046388125,0.26166118,0.48859495,0.48805122,1.1376e-05,0.00053235,-0.085732068,-0.141201702,1.61907524424502e-17,-0.102166666666667,-0.103733333333333,-0.0917333333333333,-0.0667333333333333,-0.25694328,1.61907524424502e-17,-0.102166666666667
1903,rcp45,-0.181733333333333,-0.318733333333333,-0.0497333333333333,-0.169733333333333,0.046,-0.146733333333333,0.24768873,-0.65105786,-0.01581125,0.26349998,0.4975297,0.49696353,1.1974737e-05,0.00055419,-0.088861387,-0.145168322,0.6,-0.19325,-0.181733333333333,-0.169733333333333,-0.146733333333333,-0.65105786,0.6,-0.19325
1904,rcp45,-0.222733333333333,-0.357733333333333,-0.0887333333333333,-0.219733333333333,0.046,-0.236733333333333,0.274627355,-0.3563287,0.00875,0.26587735,0.50703385,0.50644528,1.2604986e-05,0.000575965,-0.090906547,-0.15024995,0.591666666666667,-0.348,-0.222733333333333,-0.219733333333333,-0.236733333333333,-0.3563287,0.591666666666667,-0.348
1905,rcp45,-0.0787333333333333,-0.210733333333333,0.0512666666666667,-0.0487333333333333,0.046,-0.0767333333333333,0.2829350012,0.0021442188,0.012630625,0.27030438,0.51742248,0.51681148,1.3268406e-05,0.00059774,-0.092681936,-0.154436168,-3.30833333333333,-0.202833333333333,-0.0787333333333333,-0.0487333333333333,-0.0767333333333333,0.0021442188,-3.30833333333333,-0.202833333333333
1906,rcp45,0.0152666666666667,-0.116733333333333,0.146266666666667,0.0372666666666667,0.045,-0.0167333333333333,0.2895572,0.1001588,0.016485,0.27307219,0.52824419,0.52760979,1.3966743e-05,0.000620425,-0.094408059,-0.160763929,0.35,-0.0735,0.0152666666666667,0.0372666666666667,-0.0167333333333333,0.1001588,0.35,-0.0735
1907,rcp45,-0.166733333333333,-0.296733333333333,-0.0407333333333333,-0.129733333333333,0.044,-0.196733333333333,0.293330591,0.076169219,0.017793125,0.27553747,0.53869051,0.53802633,1.4701835e-05,0.00064948,-0.096580376,-0.166572675,-0.291666666666667,-0.227166666666667,-0.166733333333333,-0.129733333333333,-0.196733333333333,0.076169219,-0.291666666666667,-0.227166666666667
1908,rcp45,-0.212733333333333,-0.340733333333333,-0.0897333333333333,-0.161733333333333,0.044,-0.226733333333333,0.298821448,0.087821302,0.013584375,0.28523707,0.54889277,0.54819324,1.5475616e-05,0.00068406,-0.096331318,-0.167324385,0.45,-0.13,-0.212733333333333,-0.161733333333333,-0.226733333333333,0.087821302,0.45,-0.13
1909,rcp45,-0.226733333333333,-0.352733333333333,-0.103733333333333,-0.214733333333333,0.044,-0.266733333333333,0.29861596,0.15396401,0.00092312501,0.29769283,0.55920947,0.55847454,1.6290122e-05,0.00071864,-0.095365952,-0.166150687,0.358333333333333,-0.137083333333333,-0.226733333333333,-0.214733333333333,-0.266733333333333,0.15396401,0.358333333333333,-0.137083333333333
